split,dataset,scenario,iteration,best_k,f1_score,accuracy
within,embeddings,all,10,5,0.6781,0.7078
within,embeddings,pca,10,15,0.5862,0.6174
within,embeddings,relieff,10,19,0.5549,0.6005
between,features,all,1,19,0.6261,0.6507
between,features,pca,1,5,0.5970,0.6281
between,features,relieff,1,13,0.5261,0.5518
between,features,all,2,7,0.5573,0.5881
between,features,pca,2,7,0.5184,0.5503
between,features,relieff,2,15,0.5188,0.5530
between,features,all,3,13,0.5494,0.5789
between,features,pca,3,17,0.5254,0.5517
between,features,relieff,3,13,0.5293,0.5504
between,features,all,4,11,0.5956,0.6234
between,features,pca,4,13,0.5591,0.5927
between,features,relieff,4,15,0.5186,0.5478
between,features,all,5,15,0.5843,0.6111
between,features,pca,5,11,0.5587,0.5900
between,features,relieff,5,19,0.5173,0.5482
between,features,all,6,1,0.5895,0.6260
between,features,pca,6,3,0.5711,0.6086
between,features,relieff,6,3,0.5107,0.5410
between,features,all,7,3,0.5672,0.5943
between,features,pca,7,3,0.5456,0.5708
between,features,relieff,7,1,0.4432,0.4834
between,features,all,8,5,0.5849,0.6173
between,features,pca,8,7,0.5749,0.6040
between,features,relieff,8,19,0.5022,0.5348
between,features,all,9,17,0.6141,0.6410
between,features,pca,9,13,0.5912,0.6209
between,features,relieff,9,17,0.5591,0.5895
between,features,all,10,19,0.5791,0.6034
between,features,pca,10,17,0.5674,0.5932
between,features,relieff,10,1,0.4891,0.5340
between,features,all,1,19,0.6261,0.6507
between,features,pca,1,5,0.5970,0.6281
between,features,relieff,1,13,0.5261,0.5518
between,features,all,2,7,0.5573,0.5881
between,features,pca,2,7,0.5184,0.5503
between,features,relieff,2,15,0.5188,0.5530
between,features,all,3,13,0.5494,0.5789
between,features,pca,3,17,0.5254,0.5517
between,features,relieff,3,13,0.5293,0.5504
between,features,all,4,11,0.5956,0.6234
between,features,pca,4,13,0.5591,0.5927
between,features,relieff,4,15,0.5186,0.5478
between,features,all,5,15,0.5843,0.6111
between,features,pca,5,11,0.5587,0.5900
between,features,relieff,5,19,0.5173,0.5482
between,features,all,6,1,0.5895,0.6260
between,features,pca,6,3,0.5711,0.6086
between,features,relieff,6,3,0.5107,0.5410
between,features,all,7,3,0.5672,0.5943
between,features,pca,7,3,0.5456,0.5708
between,features,relieff,7,1,0.4432,0.4834
between,features,all,8,5,0.5849,0.6173
between,features,pca,8,7,0.5749,0.6040
between,features,relieff,8,19,0.5022,0.5348
between,features,all,9,17,0.6141,0.6410
between,features,pca,9,13,0.5912,0.6209
between,features,relieff,9,17,0.5591,0.5895
between,features,all,10,19,0.5791,0.6034
between,features,pca,10,17,0.5674,0.5932
between,features,relieff,10,1,0.4891,0.5340
between,features,all,1,19,0.6261,0.6507
between,features,pca,1,5,0.5970,0.6281
between,features,relieff,1,13,0.5261,0.5518
between,features,all,2,7,0.5573,0.5881
between,features,pca,2,7,0.5184,0.5503
between,features,relieff,2,15,0.5188,0.5530
between,features,all,3,13,0.5494,0.5789
between,features,pca,3,17,0.5254,0.5517
between,features,relieff,3,13,0.5293,0.5504
between,features,all,4,11,0.5956,0.6234
between,features,pca,4,13,0.5591,0.5927
between,features,relieff,4,15,0.5186,0.5478
between,features,all,5,15,0.5843,0.6111
between,features,pca,5,11,0.5587,0.5900
between,features,relieff,5,19,0.5173,0.5482
between,features,all,6,1,0.5895,0.6260
between,features,pca,6,3,0.5711,0.6086
between,features,relieff,6,3,0.5107,0.5410
between,features,all,7,3,0.5672,0.5943
between,features,pca,7,3,0.5456,0.5708
between,features,relieff,7,1,0.4432,0.4834
between,features,all,8,5,0.5849,0.6173
between,features,pca,8,7,0.5749,0.6040
between,features,relieff,8,19,0.5022,0.5348
between,features,all,9,17,0.6141,0.6410
between,features,pca,9,13,0.5912,0.6209
between,features,relieff,9,17,0.5591,0.5895
between,features,all,10,19,0.5791,0.6034
between,features,pca,10,17,0.5674,0.5932
between,features,relieff,10,1,0.4891,0.5340
between,embeddings,all,1,3,0.4586,0.4944
between,embeddings,pca,1,9,0.4308,0.4765
between,embeddings,relieff,1,1,0.3819,0.4555
between,embeddings,all,2,1,0.4580,0.4813
between,embeddings,pca,2,11,0.4083,0.4310
between,embeddings,relieff,2,1,0.3755,0.4413
between,embeddings,all,3,1,0.4436,0.4703
between,embeddings,pca,3,19,0.3923,0.4143
between,embeddings,relieff,3,19,0.3786,0.4331
between,embeddings,all,4,1,0.4617,0.4934
between,embeddings,pca,4,5,0.4151,0.4491
between,embeddings,relieff,4,9,0.4026,0.4485
between,embeddings,all,5,1,0.4411,0.4842
between,embeddings,pca,5,15,0.3972,0.4414
between,embeddings,relieff,5,1,0.3979,0.4600
between,embeddings,all,6,5,0.4542,0.4807
between,embeddings,pca,6,19,0.4055,0.4386
between,embeddings,relieff,6,17,0.4191,0.4725
between,embeddings,all,7,3,0.4401,0.4687
between,embeddings,pca,7,9,0.3879,0.4190
between,embeddings,relieff,7,15,0.3954,0.4573
between,embeddings,all,8,1,0.4504,0.4941
between,embeddings,pca,8,7,0.4262,0.4731
between,embeddings,relieff,8,7,0.4181,0.4798
between,embeddings,all,9,9,0.4520,0.4791
between,embeddings,pca,9,11,0.4092,0.4428
between,embeddings,relieff,9,17,0.4024,0.4556
between,embeddings,all,10,5,0.4297,0.4595
between,embeddings,pca,10,17,0.3775,0.4001
between,embeddings,relieff,10,19,0.4117,0.4565
between,embeddings,all,1,3,0.4586,0.4944
between,embeddings,pca,1,9,0.4308,0.4765
between,embeddings,relieff,1,1,0.3819,0.4555
between,embeddings,all,2,1,0.4580,0.4813
between,embeddings,pca,2,11,0.4083,0.4310
between,embeddings,relieff,2,1,0.3755,0.4413
between,embeddings,all,3,1,0.4436,0.4703
between,embeddings,pca,3,19,0.3923,0.4143
between,embeddings,relieff,3,19,0.3786,0.4331
between,embeddings,all,4,1,0.4617,0.4934
between,embeddings,pca,4,5,0.4151,0.4491
between,embeddings,relieff,4,9,0.4026,0.4485
between,embeddings,all,5,1,0.4411,0.4842
between,embeddings,pca,5,15,0.3972,0.4414
between,embeddings,relieff,5,1,0.3979,0.4600
between,embeddings,all,6,5,0.4542,0.4807
between,embeddings,pca,6,19,0.4055,0.4386
between,embeddings,relieff,6,17,0.4191,0.4725
between,embeddings,all,7,3,0.4401,0.4687
between,embeddings,pca,7,9,0.3879,0.4190
between,embeddings,relieff,7,15,0.3954,0.4573
between,embeddings,all,8,1,0.4504,0.4941
between,embeddings,pca,8,7,0.4262,0.4731
between,embeddings,relieff,8,7,0.4181,0.4798
between,embeddings,all,9,9,0.4520,0.4791
between,embeddings,pca,9,11,0.4092,0.4428
between,embeddings,relieff,9,17,0.4024,0.4556
between,embeddings,all,10,5,0.4297,0.4595
between,embeddings,pca,10,17,0.3775,0.4001
between,embeddings,relieff,10,19,0.4117,0.4565
between,embeddings,all,1,3,0.4586,0.4944
between,embeddings,pca,1,9,0.4308,0.4765
between,embeddings,relieff,1,1,0.3819,0.4555
between,embeddings,all,2,1,0.4580,0.4813
between,embeddings,pca,2,11,0.4083,0.4310
between,embeddings,relieff,2,1,0.3755,0.4413
between,embeddings,all,3,1,0.4436,0.4703
between,embeddings,pca,3,19,0.3923,0.4143
between,embeddings,relieff,3,19,0.3786,0.4331
between,embeddings,all,4,1,0.4617,0.4934
between,embeddings,pca,4,5,0.4151,0.4491
between,embeddings,relieff,4,9,0.4026,0.4485
between,embeddings,all,5,1,0.4411,0.4842
between,embeddings,pca,5,15,0.3972,0.4414
between,embeddings,relieff,5,1,0.3979,0.4600
between,embeddings,all,6,5,0.4542,0.4807
between,embeddings,pca,6,19,0.4055,0.4386
between,embeddings,relieff,6,17,0.4191,0.4725
between,embeddings,all,7,3,0.4401,0.4687
between,embeddings,pca,7,9,0.3879,0.4190
between,embeddings,relieff,7,15,0.3954,0.4573
between,embeddings,all,8,1,0.4504,0.4941
between,embeddings,pca,8,7,0.4262,0.4731
between,embeddings,relieff,8,7,0.4181,0.4798
between,embeddings,all,9,9,0.4520,0.4791
between,embeddings,pca,9,11,0.4092,0.4428
between,embeddings,relieff,9,17,0.4024,0.4556
between,embeddings,all,10,5,0.4297,0.4595
between,embeddings,pca,10,17,0.3775,0.4001
between,embeddings,relieff,10,19,0.4117,0.4565
